sales_id,product_id,customer_id,channel_id,order_date,qty,unit_price,discount_rate,sale_currency
1,1,50,2,2025-01-01,3,93.51,0.1124771899173818,EUR
2,2,109,4,2025-01-01,11,507.33,0.0485717032179171,TRY
3,3,35,1,2025-01-01,10,310.52,0.0742154987044095,EUR
4,4,25,1,2025-01-01,5,85.4,0.0754335949922679,TRY
5,5,62,2,2025-01-01,3,129.12,0.160930123570109,USD
6,6,28,1,2025-01-01,3,162.67,0.04177781771045,EUR
7,8,51,2,2025-01-01,7,366.69,0.1999144014035623,EUR
8,9,60,4,2025-01-01,5,90.79,0.1830252919187113,EUR
9,10,60,4,2025-01-01,10,153.13,0.1067300254832526,USD
10,11,118,3,2025-01-01,15,141.05,0.019721646313096,USD
11,12,95,2,2025-01-01,3,425.53,0.0406254982511772,EUR
12,13,38,4,2025-01-01,15,158.61,0.0291845426205097,TRY
13,14,64,2,2025-01-01,12,241.24,0.0304822820368286,EUR
14,15,93,4,2025-01-01,4,404.13,0.110128506503415,TRY
15,16,22,3,2025-01-01,8,358.6,0.1283388908797414,USD
16,17,68,1,2025-01-01,20,259.9,0.0279917057161234,TRY
17,18,98,1,2025-01-01,18,56.19,0.0067647514329381,USD
18,19,91,1,2025-01-01,4,310.32,0.0012767648881557,USD
19,20,80,1,2025-01-01,15,309.38,0.0302059292929492,TRY
20,21,3,4,2025-01-01,5,492.04,0.1275457183521311,USD
21,22,69,3,2025-01-01,2,440.56,0.0013224713984317,TRY
22,23,104,4,2025-01-01,8,474.61,0.1954958696465023,EUR
23,24,31,2,2025-01-01,8,449.52,0.1879423825588425,TRY
24,25,102,3,2025-01-01,16,148.62,0.0383864113983226,EUR
25,26,90,2,2025-01-01,3,134.34,0.0793792844996142,USD
26,27,12,1,2025-01-01,16,380.53,0.0451714505254844,EUR
27,28,90,1,2025-01-01,16,480.82,0.0810556596208572,EUR
28,29,73,3,2025-01-01,2,486.39,0.0342767150442095,EUR
29,30,30,1,2025-01-01,14,503.34,0.195465844657958,TRY
30,31,35,4,2025-01-01,1,513.96,0.0422834111769094,EUR
31,32,23,1,2025-01-01,3,205.28,0.0093123941483486,USD
32,33,97,2,2025-01-01,13,387.53,0.1857532722509318,USD
33,34,21,3,2025-01-01,3,156.98,0.1641381482969394,EUR
34,35,50,3,2025-01-01,4,281.31,0.112791639924753,EUR
35,36,65,1,2025-01-01,8,360.78,0.1511218529041784,TRY
36,37,108,2,2025-01-01,3,56.08,0.1490913122509767,EUR
37,38,100,4,2025-01-01,1,316.09,0.015203649313141,TRY
38,39,63,4,2025-01-01,9,422.99,0.0652753293955708,TRY
39,40,88,2,2025-01-01,9,249.05,0.0456276779708433,USD
40,41,103,3,2025-01-01,10,343.42,0.1171750242422102,EUR
41,42,92,4,2025-01-01,6,417.36,0.0492899562613793,USD
42,43,14,3,2025-01-01,4,324.71,0.1567780563740445,EUR
43,44,14,3,2025-01-01,2,85.31,0.0183040857392478,USD
44,45,14,4,2025-01-01,13,291.17,0.0265014008988398,EUR
45,46,111,3,2025-01-01,9,54.01,0.0052523808026594,USD
46,47,93,1,2025-01-01,9,424.31,0.0770475834791967,TRY
47,48,88,2,2025-01-01,10,295.49,0.1802272089712866,EUR
48,49,19,4,2025-01-01,3,119.33,0.0761464046977486,EUR
49,50,101,4,2025-01-01,2,342.85,0.0126534300553908,USD
50,51,77,4,2025-01-01,9,137.89,0.0153842722790314,USD
51,52,51,1,2025-01-01,16,394.67,0.1233337584071579,TRY
52,53,57,3,2025-01-01,6,425.97,0.0664434430623254,TRY
53,54,39,2,2025-01-01,17,168.66,0.0669472447493914,USD
54,55,23,3,2025-01-01,24,118.0,0.0641330310750175,TRY
55,56,74,4,2025-01-01,10,297.46,0.1929149246189588,TRY
56,57,47,4,2025-01-01,13,80.5,0.1563948739207153,EUR
57,58,88,2,2025-01-01,12,420.1,0.0227775647223996,TRY
58,59,57,2,2025-01-01,2,290.3,0.153523581549673,EUR
59,60,87,4,2025-01-01,7,412.33,0.1595371042062807,EUR
60,61,92,2,2025-01-01,3,392.35,0.099860643057792,TRY
61,62,75,4,2025-01-01,7,419.51,0.0846255910233807,USD
62,63,70,4,2025-01-01,9,218.31,0.0801610194658747,USD
63,64,14,1,2025-01-01,12,464.13,0.0073530328135503,EUR
64,65,73,1,2025-01-01,7,226.14,0.1537908095840081,TRY
65,66,102,3,2025-01-01,7,90.03,0.1967216411903965,EUR
66,67,58,2,2025-01-01,9,194.81,0.0860911087780364,TRY
67,68,45,2,2025-01-01,10,108.05,0.0748239135610076,TRY
68,69,15,1,2025-01-01,13,366.73,0.1995405450829307,TRY
69,70,59,3,2025-01-01,1,177.75,0.1662635489414277,TRY
70,71,57,1,2025-01-01,5,289.94,0.1568539995057394,EUR
71,72,104,1,2025-01-01,4,162.55,0.1443987886559415,TRY
72,73,87,1,2025-01-01,1,406.77,0.1421557979510505,EUR
73,74,71,2,2025-01-01,19,500.06,0.1600100251501114,EUR
74,75,103,2,2025-01-01,7,165.46,0.0320271422430718,USD
75,76,51,4,2025-01-01,14,314.47,0.0810094872560505,USD
76,77,50,4,2025-01-01,1,326.17,0.0058384548684781,EUR
77,78,74,1,2025-01-01,11,249.87,0.0008900086652273,TRY
78,79,26,3,2025-01-01,16,436.6,0.0203504097454284,EUR
79,80,77,3,2025-01-01,1,162.12,0.0915100844412371,EUR
80,81,109,3,2025-01-01,8,357.17,0.0777278521825498,USD
81,82,118,3,2025-01-01,7,284.76,0.0915721172353069,USD
82,83,31,1,2025-01-01,7,57.13,0.1228969031425839,EUR
83,84,54,4,2025-01-01,6,435.87,0.0610760005070997,USD
84,85,82,4,2025-01-01,4,129.64,0.1192851634887863,USD
85,86,72,2,2025-01-01,13,211.23,0.1074758539996041,USD
86,87,80,4,2025-01-01,5,390.06,0.0333731047654778,USD
87,88,25,2,2025-01-01,7,396.13,0.0107222525261673,EUR
88,89,53,4,2025-01-01,8,213.03,0.1630431881307723,USD
89,90,22,4,2025-01-01,4,263.95,0.1369393341119973,TRY
90,91,5,3,2025-01-01,13,199.75,0.0165341251572933,TRY
91,92,73,4,2025-01-01,20,318.81,0.0549705836547068,USD
92,93,74,1,2025-01-01,27,495.99,0.1485036503859574,TRY
93,95,70,4,2025-01-01,4,161.03,0.0733723544210841,EUR
94,96,39,2,2025-01-01,15,280.6,0.0437083870020146,EUR
95,97,57,1,2025-01-01,4,149.99,0.1749619692553768,USD
96,98,104,2,2025-01-01,7,237.7,0.1730580940752591,EUR
97,99,22,4,2025-01-01,3,519.39,0.1475225964008627,TRY
98,100,73,1,2025-01-01,13,398.62,0.123230239956431,USD
99,101,91,3,2025-01-01,10,333.03,0.0701630957905661,USD
100,102,18,1,2025-01-01,10,362.1,0.0585269395848113,EUR
101,103,111,3,2025-01-01,4,503.32,0.1925543989987584,TRY
102,104,92,2,2025-01-01,15,231.32,0.1311792554361942,USD
103,105,63,4,2025-01-01,4,260.56,0.0644193423218753,EUR
104,106,58,4,2025-01-01,1,453.18,0.0284343266150735,USD
105,107,66,4,2025-01-01,8,270.62,0.0151032546663697,TRY
106,108,63,4,2025-01-01,9,267.55,0.149960476574638,USD
107,109,94,1,2025-01-01,7,147.31,0.065457856032186,EUR
108,110,102,1,2025-01-01,6,190.06,0.1944300583875913,EUR
109,111,64,2,2025-01-01,17,481.25,0.1068848928775129,TRY
110,112,73,2,2025-01-01,14,312.69,0.0537073676628845,EUR
111,113,6,1,2025-01-01,1,384.47,0.1704845152576832,TRY
112,114,119,1,2025-01-01,10,308.3,0.0199149483832411,TRY
113,115,26,4,2025-01-01,5,363.59,0.1715303199857227,USD
114,116,21,3,2025-01-01,10,522.41,0.1991388137468574,TRY
115,117,33,3,2025-01-01,21,401.51,0.1748846738528096,USD
116,118,51,1,2025-01-01,11,57.94,0.0164841061410959,EUR
117,119,84,4,2025-01-01,21,497.28,0.1251208548329908,EUR
118,120,17,1,2025-01-01,7,141.04,0.0182398374433786,TRY
119,1,18,4,2025-01-02,13,84.83,0.1765557148317823,EUR
120,2,81,2,2025-01-02,1,522.17,0.0838469642392662,TRY
121,3,101,4,2025-01-02,8,263.33,0.1988174554737926,EUR
122,4,117,3,2025-01-02,4,99.35,0.1426741337166907,TRY
123,5,41,1,2025-01-02,3,119.11,0.1131302230095762,USD
124,6,8,3,2025-01-02,13,179.86,0.1194232705518904,EUR
125,7,21,2,2025-01-02,3,337.92,0.1617307767145802,TRY
126,8,98,1,2025-01-02,29,368.54,0.0200268674609915,EUR
127,9,46,4,2025-01-02,5,92.01,0.1992784097012914,EUR
128,10,76,2,2025-01-02,9,150.31,0.187041206418309,USD
129,11,91,1,2025-01-02,11,137.91,0.0636008736583742,USD
130,12,108,2,2025-01-02,12,474.01,0.1401121606702836,EUR
131,13,23,3,2025-01-02,10,145.69,0.1976012420809286,TRY
132,14,3,2,2025-01-02,14,233.96,0.0980872840254958,EUR
133,15,104,2,2025-01-02,2,452.61,0.1052897028297021,TRY
134,16,8,3,2025-01-02,7,416.26,0.0260979091238365,USD
135,17,109,1,2025-01-02,10,300.58,0.0043825792487144,TRY
136,18,76,4,2025-01-02,10,47.19,0.1052589757154427,USD
137,19,94,2,2025-01-02,3,280.42,0.0202064340361372,USD
138,20,23,3,2025-01-02,9,340.89,0.1897387064052647,TRY
139,21,29,3,2025-01-02,7,489.94,0.1414365842472656,USD
140,23,90,1,2025-01-02,12,417.85,0.1467989946730411,EUR
141,24,24,1,2025-01-02,18,455.85,0.1897396319699806,TRY
142,25,82,2,2025-01-02,10,152.88,0.1204777334901942,EUR
143,26,31,1,2025-01-02,7,127.07,0.113110049224064,USD
144,27,106,1,2025-01-02,8,365.47,0.0693620249366457,EUR
145,28,2,4,2025-01-02,4,520.5,0.1417931626290449,EUR
146,29,101,3,2025-01-02,1,450.3,0.0530424881125752,EUR
147,30,22,4,2025-01-02,8,455.87,0.0216069202429258,TRY
148,31,13,4,2025-01-02,1,465.42,0.1769103995174455,EUR
149,32,21,2,2025-01-02,4,192.13,0.1657613955132503,USD
150,33,41,1,2025-01-02,17,321.68,0.0902574838306149,USD
151,34,21,4,2025-01-02,6,140.01,0.0522255419964524,EUR
152,36,91,4,2025-01-02,7,336.14,0.0186209370761373,TRY
153,38,25,2,2025-01-02,2,284.4,0.1779506540808087,TRY
154,39,85,3,2025-01-02,9,434.36,0.0818559731501291,TRY
155,40,20,4,2025-01-02,9,232.4,0.056304614689053,USD
156,41,26,4,2025-01-02,7,298.83,0.0109009703410102,EUR
157,42,61,1,2025-01-02,5,449.77,0.0193973794962997,USD
158,43,115,4,2025-01-02,4,325.23,0.1687538148693873,EUR
159,44,48,2,2025-01-02,6,87.02,0.1322080109492009,USD
160,45,57,3,2025-01-02,10,290.99,0.1770985385499077,EUR
161,46,20,1,2025-01-02,10,56.07,0.0930115912309301,USD
162,47,104,3,2025-01-02,7,398.09,0.1504470284230574,TRY
163,48,108,1,2025-01-02,8,274.54,0.1082898012012044,EUR
164,49,74,4,2025-01-02,2,135.84,0.0774212193763333,EUR
165,51,16,2,2025-01-02,14,145.31,0.1805554402678308,USD
166,52,28,2,2025-01-02,11,463.94,0.189850963290317,TRY
167,53,26,4,2025-01-02,5,395.4,0.1616921442638726,TRY
168,54,41,3,2025-01-02,7,167.86,0.1994538453557551,USD
169,55,72,4,2025-01-02,16,114.64,0.1821608971463188,TRY
170,56,118,4,2025-01-02,5,296.52,0.0794709988714071,TRY
171,57,15,4,2025-01-02,14,86.27,0.1746932506745514,EUR
172,58,119,1,2025-01-02,12,419.74,0.0828884797537957,TRY
173,59,113,3,2025-01-02,2,293.55,0.021126964036649,EUR
174,60,5,4,2025-01-02,8,449.91,0.0821780074598441,EUR
175,61,5,4,2025-01-02,9,423.47,0.0344399456313463,TRY
176,62,96,1,2025-01-02,15,439.98,0.0791585488462063,USD
177,63,105,3,2025-01-02,5,196.24,0.0950436382306143,USD
178,64,112,1,2025-01-02,10,476.73,0.158730411981128,EUR
179,65,35,3,2025-01-02,9,244.24,0.0455914827203534,TRY
180,66,28,4,2025-01-02,8,84.32,0.145759882653911,EUR
181,67,106,3,2025-01-02,5,204.05,0.1826865610837481,TRY
182,68,18,4,2025-01-02,9,95.24,0.0112411640812005,TRY
183,69,25,2,2025-01-02,10,387.62,0.1561032859255304,TRY
184,70,59,1,2025-01-02,3,167.09,0.1750361112250833,TRY
185,71,106,3,2025-01-02,10,281.02,0.010111856338428,EUR
186,72,31,1,2025-01-02,4,193.01,0.0928436927573775,TRY
187,73,76,4,2025-01-02,2,392.87,0.0744933523070614,EUR
188,74,96,3,2025-01-02,8,509.33,0.1102667441215513,EUR
189,75,21,1,2025-01-02,20,137.24,0.1661740402711191,USD
190,76,83,2,2025-01-02,7,288.4,0.1707642653171093,USD
191,77,111,1,2025-01-02,3,357.72,0.045022408183955,EUR
192,78,83,2,2025-01-02,5,235.78,0.1560607328521286,TRY
193,79,92,3,2025-01-02,15,440.03,0.0346401312964289,EUR
194,80,110,4,2025-01-02,2,148.86,0.1934048886736753,EUR
195,81,75,4,2025-01-02,8,384.45,0.0697418398544162,USD
196,82,72,3,2025-01-02,9,284.15,0.02046242059372,USD
197,83,62,1,2025-01-02,12,59.16,0.129468424012918,EUR
198,84,34,3,2025-01-02,6,431.44,0.0127674107794219,USD
199,86,104,1,2025-01-02,6,184.38,0.0376720162480015,USD
200,87,88,3,2025-01-02,6,408.12,0.1714630720054563,USD
201,88,34,3,2025-01-02,8,438.98,0.0279859017152833,EUR
202,89,44,2,2025-01-02,5,222.88,0.1813823125043,USD
203,90,117,4,2025-01-02,15,248.86,0.1453099753161807,TRY
204,91,108,2,2025-01-02,14,182.25,0.1881335909245438,TRY
205,92,17,4,2025-01-02,13,327.39,0.13152293693497,USD
206,93,88,2,2025-01-02,14,496.91,0.1481837783137736,TRY
207,94,96,2,2025-01-02,21,414.43,0.179918231570173,TRY
208,95,34,3,2025-01-02,10,191.0,0.1742864464328963,EUR
209,96,111,1,2025-01-02,18,247.47,0.1171141390413807,EUR
210,97,114,4,2025-01-02,10,161.26,0.126879348730407,USD
211,98,53,3,2025-01-02,8,231.83,0.0389087609953841,EUR
212,99,44,2,2025-01-02,2,449.28,0.010812394128515,TRY
213,100,19,4,2025-01-02,9,405.6,0.0818383693504208,USD
214,101,43,4,2025-01-02,16,348.91,0.0632766915297417,USD
215,102,58,1,2025-01-02,11,340.99,0.126206554452539,EUR
216,103,63,2,2025-01-02,5,433.64,0.0547055724402999,TRY
217,104,82,4,2025-01-02,8,231.16,0.1570421811395424,USD
218,105,5,1,2025-01-02,2,242.71,0.0858819446018241,EUR
219,106,97,3,2025-01-02,2,481.66,0.1067565205684516,USD
220,107,29,2,2025-01-02,3,265.89,0.1666457333133128,TRY
221,108,65,4,2025-01-02,7,230.32,0.1387049494340794,USD
222,109,38,3,2025-01-02,8,148.69,0.1177341376336143,EUR
223,110,114,4,2025-01-02,14,183.73,0.0911852623937009,EUR
224,111,46,4,2025-01-02,9,536.56,0.1373560309342628,TRY
225,112,3,4,2025-01-02,15,349.48,0.1500231164521367,EUR
226,113,76,1,2025-01-02,1,330.09,0.0456836569671651,TRY
227,114,49,1,2025-01-02,8,323.93,0.1009267109170328,TRY
228,115,77,1,2025-01-02,4,406.74,0.1753088275198952,USD
229,116,7,1,2025-01-02,15,500.23,0.1989360467314129,TRY
230,117,61,3,2025-01-02,12,426.59,0.1379499496754852,USD
231,118,39,1,2025-01-02,12,58.35,0.1403736429708109,EUR
232,119,54,2,2025-01-02,12,475.05,0.0841742912853726,EUR
233,120,37,1,2025-01-02,5,156.17,0.1661305440941779,TRY
234,1,24,1,2025-01-03,13,91.5,0.1449829041425732,EUR
235,2,55,1,2025-01-03,17,455.35,0.1924950497952031,TRY
236,3,1,3,2025-01-03,10,271.57,0.0558224492618421,EUR
237,4,119,2,2025-01-03,6,87.57,0.0661125577484538,TRY
238,5,63,3,2025-01-03,2,135.64,0.0645260059787039,USD
239,6,68,3,2025-01-03,7,154.87,0.1579816364834859,EUR
240,7,54,2,2025-01-03,3,317.8,0.0439924030855114,TRY
241,8,85,2,2025-01-03,16,374.95,0.1086160310164629,EUR
242,9,72,4,2025-01-03,6,81.2,0.0663767029807963,EUR
243,10,58,3,2025-01-03,13,145.0,0.1647376801850404,USD
244,11,6,2,2025-01-03,10,153.8,0.0480695752866513,USD
245,12,50,1,2025-01-03,6,507.0,0.1365102721537056,EUR
246,13,66,3,2025-01-03,13,132.05,0.0513181113306243,TRY
247,14,42,2,2025-01-03,9,224.63,0.1605633475016588,EUR
248,15,81,1,2025-01-03,5,389.91,0.1027789400254867,TRY
249,16,107,4,2025-01-03,6,405.11,0.0130943644207439,USD
250,17,83,4,2025-01-03,6,288.68,0.020785361834734,TRY
251,18,59,1,2025-01-03,10,53.52,0.1633508696254359,USD
252,19,102,2,2025-01-03,4,276.6,0.1433736567671826,USD
253,20,53,3,2025-01-03,11,332.21,0.0503816001982751,TRY
254,21,50,1,2025-01-03,7,448.43,0.0776065207289541,USD
255,22,97,1,2025-01-03,4,502.04,0.1346597464655425,TRY
256,23,119,3,2025-01-03,14,477.75,0.149190206208241,EUR
257,24,37,1,2025-01-03,11,430.26,0.1005673901828163,TRY
